Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureCategory,PerformanceBoost,StabilityScore,EngagementScore
41,1,2,2,1,2,1,2,0,3,2,7,4,2,5993,8.0,1,11,3,1,0,8.0,0.5,1,6,4.0,0.0,5.0,0,33,1.5,2.0
49,0,1,1,8,1,1,3,1,2,2,6,2,1,5130,1.0,0,23,4,4,1,10.0,3.0,3,10,7.0,1.0,7.0,0,92,1.4,3.0
37,1,2,1,2,2,4,4,1,2,1,2,3,2,2090,6.0,1,15,3,2,0,7.0,3.0,3,0,0.0,0.0,0.0,2,45,1.25,3.0
33,0,1,1,3,4,1,4,0,3,1,6,3,1,2909,1.0,1,11,3,3,0,8.0,3.0,3,8,7.0,3.0,0.0,0,33,0.875,3.25
27,0,2,1,2,1,3,1,1,3,1,2,2,1,3468,8.5,0,12,3,4,1,6.0,3.0,3,2,2.0,2.0,2.0,2,36,2.0,2.5
32,0,1,1,2,2,1,4,1,3,1,2,4,2,3068,0.0,0,13,3,3,0,8.0,2.0,2,7,7.0,3.0,6.0,0,39,1.8571428571428572,3.25
59,0,2,1,3,3,3,3,0,4,1,2,1,1,2670,4.0,1,20,4,1,3,12.0,3.0,2,1,0.0,0.0,0.0,2,80,0.0,1.75
30,0,2,1,24,1,1,4,1,3,1,2,3,0,2693,1.0,0,22,4,2,1,1.0,2.0,3,1,0.0,0.0,0.0,2,88,0.0,3.0
38,0,1,1,23,3,1,4,1,2,3,4,3,2,9526,0.0,0,21,4,2,0,10.0,2.0,3,9,7.0,1.0,8.0,0,84,1.6666666666666667,3.0
36,0,2,1,27,3,3,3,1,3,2,0,3,1,5237,6.0,0,13,3,2,2,17.0,3.0,2,7,7.0,7.0,7.0,0,39,2.0,2.5
35,0,2,1,16,3,3,1,1,4,1,2,2,1,2426,0.0,0,13,3,3,1,6.0,4.5,3,5,4.0,0.0,3.0,1,39,1.4,2.25
29,0,2,1,15,2,1,4,0,2,2,2,3,2,4193,0.0,1,12,3,4,0,10.0,3.0,3,9,5.0,0.0,8.0,0,36,1.4444444444444444,3.5
31,0,2,1,26,1,1,1,1,3,1,6,3,0,2911,1.0,0,17,3,4,1,5.0,1.0,2,5,2.0,4.0,3.0,1,51,1.0,2.5
34,0,2,1,19,2,3,2,1,3,1,2,4,0,2661,0.0,0,11,3,3,1,3.0,2.0,3,2,2.0,1.0,2.0,2,33,2.0,3.0
28,1,2,1,24,3,1,3,1,2,1,2,3,2,2028,5.0,1,14,3,2,0,6.0,4.0,3,4,2.0,0.0,3.0,1,42,1.25,2.75
29,0,2,1,21,4,1,2,0,4,3,4,1,0,9980,1.0,0,11,3,3,1,10.0,1.0,3,10,9.0,7.5,8.0,0,33,1.7,2.25
32,0,2,1,5,2,1,1,1,4,1,6,2,0,3298,0.0,1,12,3,4,2,7.0,4.5,2,6,2.0,0.0,5.0,0,36,1.1666666666666667,2.25
22,0,0,1,16,2,3,4,1,4,1,2,4,0,2935,1.0,1,13,3,2,2,1.0,2.0,2,1,0.0,0.0,0.0,2,39,0.0,3.0
53,0,2,2,2,4,1,1,0,2,4,3,4,1,15427,2.0,0,16,3,3,0,28.5,3.0,3,18,8.0,3.0,7.0,3,48,0.8333333333333334,2.75
38,0,2,1,2,3,1,4,1,3,1,6,4,2,3944,5.0,1,11,3,3,0,6.0,3.0,3,3,2.0,1.0,2.0,1,33,1.3333333333333333,3.5
24,0,0,1,11,2,4,1,0,4,2,4,3,0,4011,0.0,0,18,3,4,1,5.0,4.5,2,4,2.0,1.0,3.0,1,54,1.25,2.5
36,1,2,2,9,4,1,3,1,2,1,8,1,2,3407,7.0,0,23,4,2,0,10.0,4.0,3,5,3.0,0.0,3.0,1,92,1.2,2.25
34,0,2,1,7,4,1,1,0,3,3,5,2,2,11994,0.0,0,11,3,3,0,13.0,4.0,3,12,6.0,2.0,11.0,3,33,1.4166666666666667,2.25
21,0,2,1,15,2,1,3,1,3,1,6,4,2,1232,1.0,0,14,3,4,0,0.0,4.5,3,0,0.0,0.0,0.0,2,42,1.25,3.5
34,1,2,1,6,1,3,2,1,3,1,6,1,2,2960,2.0,0,11,3,3,0,8.0,2.0,3,4,2.0,1.0,3.0,1,33,1.25,2.25
53,0,2,1,5,3,4,3,0,3,5,3,3,0,16581,4.0,0,11,3,4,1,26.0,3.0,2,14,13.0,4.0,8.0,3,33,1.5,3.0
32,1,1,1,16,1,1,2,0,1,1,6,1,2,3919,1.0,1,22,4,2,0,10.0,4.5,3,10,2.0,6.0,7.0,0,88,0.9,2.0
42,0,2,2,8,4,2,3,1,3,2,7,2,1,6825,0.0,0,11,3,4,1,10.0,2.0,3,9,7.0,4.0,2.0,0,33,1.0,3.0
44,0,2,1,7,4,3,1,0,2,3,0,4,1,10248,3.0,0,14,3,4,1,24.0,4.0,3,18,6.0,5.0,14.5,3,42,1.1388888888888888,3.0
46,0,2,2,2,4,2,2,0,3,5,3,1,2,16581,3.0,0,12,3,4,0,22.0,2.0,2,2,2.0,2.0,1.0,2,36,1.5,2.25
33,0,2,1,2,3,3,3,1,3,1,2,4,2,2496,4.0,0,11,3,4,0,7.0,3.0,3,1,1.0,0.0,0.0,2,33,1.0,3.5
44,0,2,1,10,4,4,4,1,3,2,0,4,1,6465,2.0,1,13,3,4,0,9.0,4.5,4,4,2.0,1.0,3.0,1,39,1.25,4.0
30,0,2,1,9,2,3,4,1,2,1,2,3,2,2206,1.0,0,13,3,1,0,10.0,4.5,3,10,0.0,1.0,8.0,0,39,0.8,2.75
39,1,2,2,5,3,5,4,1,3,2,8,4,1,2086,3.0,0,14,3,3,1,19.0,4.5,4,1,0.0,0.0,0.0,2,42,0.0,3.75
24,1,2,1,1,3,3,2,1,3,1,6,4,1,2293,2.0,1,16,3,1,1,6.0,2.0,2,2,0.0,2.0,0.0,2,48,0.0,2.25
43,0,2,1,2,2,3,4,0,4,1,6,3,0,2645,1.0,0,12,3,4,2,6.0,3.0,2,5,3.0,1.0,4.0,1,36,1.4,3.25
50,1,2,2,3,2,2,1,1,2,1,8,3,1,2683,1.0,1,14,3,3,0,3.0,2.0,3,3,2.0,0.0,2.0,1,42,1.3333333333333333,2.5
35,0,2,2,2,3,2,4,0,3,1,8,4,1,2014,1.0,0,13,3,1,0,2.0,3.0,3,2,2.0,2.0,2.0,2,39,2.0,3.0
